Grade,Topic,Subtopic,Activity Type,Activity Name,Location
POC,-,-,-,A Volcano Is Born:,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../RT/NonFiction/x_a230.swf
POC,-,-,-,Features of a Timeline 1:,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/FocusIn/r834/x_a834.swf
Nursery,Reading,My Alphabet,Instruction,Explore Letters of the Alphabet,english/content/language_arts/DR1_en-IN/dr1/dr1/CM/launch.html?../PC/AlphabetBook/r197/x_a197.swf
Nursery,Reading,My Alphabet,Interactive Exercise,Find the Letters,english/content/language_arts/DR1_en-IN/dr1/dr1/CM/launch.html?../DD/FormInvariance/x_a198.swf
Nursery,Reading,My Alphabet,Interactive Exercise,Play with Letter Blocks,english/content/language_arts/DR1_en-IN/dr1/dr1/CM/launch.html?../DD/Blocks/x_a020.swf
Nursery,Reading,My Alphabet,Interactive Exercise,Alphabetical Order,english/content/language_arts/DR1_en-IN/dr1/dr1/CM/launch.html?../DD/AlphabetTrain/x_a021.swf
Nursery,Reading,My Alphabet,Interactive Exercise,Identify Objects Beginning with a Specific Letter,english/content/language_arts/DR1_en-IN/dr1/dr1/CM/launch.html?../PC/AlphabetBook/r022/x_a022.swf
Nursery,Reading,My Alphabet,Rhyme,Follow the Print and Sing Along,english/content/language_arts/DR1_en-IN/dr1/dr1/CM/launch.html?../PC/Song/x_a015.swf
Nursery,Rhymes,Popular rhymes I,Rhyme,She'll Be Coming Round the Mountain,english/content/language_arts/DR1_en-IN/dr1/dr1/CM/launch.html?../PC/Song/x_a648.swf
Nursery,Rhymes,Popular rhymes I,Rhyme,If You're Happy and You Know It,english/content/language_arts/DR1_en-IN/dr1/dr1/CM/launch.html?../PC/Song/x_a647.swf
KG 1,Phonics,Sounds A-D,Instruction,Find the A Sound,english/content/language_arts/DR1_en-IN/dr1/dr1/CM/launch.html?../DD/MS/x_a657.swf
KG 1,Phonics,Sounds A-D,Instruction,Find the B Sound,english/content/language_arts/DR1_en-IN/dr1/dr1/CM/launch.html?../DD/MS/x_a199.swf
KG 1,Phonics,Sounds A-D,Instruction,Find the Hard C Sound,english/content/language_arts/DR1_en-IN/dr1/dr1/CM/launch.html?../DD/MS/x_a704.swf
