Grade,Topic,Subtopic,Activity Type,Activity Name,Description,Location
Class 1,Grammar,Nouns,Practice,The Noun Song,A rhyme explaining that nouns are names of people? places? animals or things.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/Song/x_a276.swf
Class 1,Grammar,Pronouns,Instruction,Pronouns It? They? Her,An introduction to pronouns.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/OnStage/x_a280.swf
Class 1,Grammar,Verbs,Instruction,More about Action Words,An introduction to action words or verbs.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/Song/x_a278.swf
Class 2,Phonics,Identify Sounds,Practice,"Word Finder: ""or"" sound","Students explore words with the ""or"" sound and the different ways of spelling this sound.",english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/FW/x_a542.swf
Class 2,Phonics,Identify Sounds,Practice,"Word Finder: ""ew""? ""ou"" and ""oo"" sound",Students identify words with the sounds -ew? ou and oo.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/FW/x_a769.swf
Class 2,Phonics,Identify Sounds,Practice,"Word Finder: ""aw"" sound",Students identify words with the -aw sound in a passage.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/FW/x_a565.swf
Class 2,Phonics,Identify Sounds,Practice,"Word Finder: ""ome"" and ""ove""",Students identify words that end with -ome and -ove.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/FW/x_a779.swf
Class 2,Phonics,Identify Sounds,Practice,"Word Finder: hard ""c"" sound",Students identify words with the hard C sound.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/FW/x_a793.swf
Class 2,Phonics,Identify Sounds,Practice,"Word Finder: ""ea"" sounds","Students identify words with the ""eh"" sound.",english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/FW/x_a578.swf
Class 2,Phonics,Identify Sounds,Practice,Word Finder: y as a long e or i sound ,Students identify words with the Y vowel sound in a passage.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/FW/x_a603.swf
Class 2,Phonics,Identify Sounds,Practice,"Word Puzzles: ""-dge""? ""-ge""? ""-ph"" sounds",Students identify words with -dge? -ge and -ph sounds.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/WordPuzzles/r580/x_a580.swf
Class 2,Phonics,Different Sounds,Practice,"""-are"" and ""-air"" sound",Students write sentences using words with the sound -air.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../TextEntry/WritersPad/x_a766.swf
Class 2,Phonics,Different Sounds,Practice,"""ou"" and ""oo"" sound",Students write sentences using words with the sound -ou and -oo.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../TextEntry/WritersPad/x_a551.swf
Class 2,Phonics,Different Sounds,Practice,"""wa"" sound","Students write sentences using words with the ""wa"" sound.",english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../TextEntry/WritersPad/x_a561.swf
Class 2,Phonics,Different Sounds,Practice,long i and o sound (igh and y) (ow and oe),Students write sentences using words with long i and long o sounds.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../TextEntry/WritersPad/x_a609.swf
Class 2,Phonics,Different Sounds,Practice,"""Le"" sound",Students write sentences using words that end with the -le sound.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../TextEntry/WritersPad/x_a576.swf
Class 2,Writing,Activity,Practice,Write Interview Questions ,Students write questions to help research a short biography of a parent or friend.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../TextEntry/WritersPad/x_a397.swf
Class 2,Vocabulary,Compound Words,Practice,Make Compound Words,Students practice combining two words to make a compound word.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/Conveyor/r761/x_a761.swf
Class 2,Vocabulary ,Antonyms,Practice,Antonyms 1,A game in which students match pairs of antonyms.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/HollyWPairs/r557/x_a557.swf
Class 2,Vocabulary ,Antonyms,Practice,Antonyms 2,A game in which students match pairs of antonyms.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/HollyWPairs/r583/x_a583.swf
Class 2,Grammar,Nouns,Instruction,The Noun Song,A song explaining that nouns are names of people? places? animals or things.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/Song/x_a276.swf
Class 2,Grammar,Nouns,Practice,Complete the Sentence: Nouns,Students complete sentences using the correct nouns.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/CP/x_a284.swf
Class 2,Grammar,Numbers,Practice,Singular and Plural Nouns 4,A game in which students match words with their plurals.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/HollyWPairs/r620/x_a620.swf
Class 2,Grammar,Adjectives,Instruction,More about Adjectives ,A dialogue that uses adjectives to describe a lizard.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/Song/x_a277.swf
Class 2,Grammar,Adjectives,Practice,Adjectives: Complete the Sentence ,Students choose suitable adjectives to complete sentences.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/CP/x_a289.swf
Class 2,Grammar,Verbs,Instruction,Verb Tenses Introduction,An introduction to verb tenses.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/OnStage/x_a622.swf
Class 2,Grammar,Sentences,Practice,Writing Sentences,Students choose a topic and write a statement? a question and an exclamation about it.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../TextEntry/WritersPad/x_a356.swf
Class 3,Phonics,Sounds,Practice,"Word Puzzles: ""-dge""? ""-ge""? ""-ph"" sounds",Students identify words with -dge? -ge and -ph sounds.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/WordPuzzles/r580/x_a580.swf
Class 3,Phonics,Sounds,Practice,Word Family: -ain? -eer? -ear sounds,Students identify words that end with -ain? -eer and -ear.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../WF/x_a547.swf
Class 3,Phonics,Sounds,Practice,"Identify Words with sounds: ""str-""? ""spr-"" and ""thr-"" ",Students identify words that begin with str-? spr- and thr-.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/WordPuzzles/r610/x_a610.swf
Class 3,Reading,Inferential Comprehension,Practice,Magazine Article: Randy Wells: A Life with Dolphins,A magazine article about a marine biologist who studies dolphins.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../RT/NonFiction/x_a781.swf
Class 3,Reading ,Inferential Comprehension,Practice,Cause and Effect- Randy Wells: A Life with Dolphins ,Students match causes with their effects.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/MatchTables/x_a344.swf
Class 3,Reading ,Inferential Comprehension,Instruction,Features of Informational Text,Students learn about informational texts and how to use them.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/FocusIn/r763/x_a763.swf
Class 3,Reading,Inferential Comprehension,Instruction,Features of a Magazine Article,An informational graphic explaining the features of magazine articles.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/FocusIn/r502/x_a502.swf
Class 3,Reading,Inferential Comprehension,Instruction,Features of a Chart,An informational graphic explaining the features of a chart.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/FocusIn/r832/x_a832.swf
Class 3,Reading,Inferential Comprehension,Practice,Magazine Article: Pyramid of Good Foods,A magazine article about the food pyramid and healthy eating.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../RT/NonFiction/x_a232.swf
Class 3,Reading ,Inferential Comprehension,Practice,Find the Right Answer: Food Pyramid,A game in which students answer questions about the food pyramid.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/ChoiceIsRight/r297/x_a297.swf
Class 3,Reading ,Inferential Comprehension,Instruction,Identify Parts of a Book Cover,Students identify parts of a book cover? including title? author and illustrator.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/FocusIn/r347/x_a347.swf
Class 3,Reading,Reading for Fun,Practice,The Grateful Statues,A play based on a folk tale about a man who helps some statues.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../RT/Stories/x_a235.swf
Class 3,Reading ,Reading for Fun,Practice,Sequence Events: The Grateful Statues,Students sequence events from a folk tale.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/SQ/x_a314.swf
Class 3,Reading ,Reading for Fun,Practice,Match the Problems and Solutions: The Grateful Statues,Students match problems with their solutions.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/MatchTables/x_a339.swf
Class 3,Reading,Reading for Fun,Practice,How to Grow Vegetable Soup,A story about growing vegetables.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../RT/Stories/x_a228.swf
Class 3,Reading ,Reading for Fun,Practice,Venn Diagram: Sort Character Traits,Students sort words describing the characters from the story in a Venn diagram.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/Venn/x_a334.swf
Class 3,Reading,Reading for Fun,Practice,Venn Diagram: Sort Character? Plot and Setting,Students organise information from two folk tales into a Venn diagram.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/Venn/x_a637.swf
Class 3,Reading ,Reading for Fun,Practice,Sequence Events: How to Grow Vegetable Soup,Students sequence events from a story.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/SQ/x_a312.swf
Class 3,Reading ,Reading for Fun,Practice,The Shoemaker and the Elves,A fairy tale about a shoemaker and some elves.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../RT/Stories/x_a234.swf
Class 3,Reading,Reading for Fun,Practice,Arion's Music,A Greek myth about a musician in ancient Greece.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../RT/Stories/x_a242.swf
Class 3,Reading,Reading for Fun,Practice,An Apple Happens,A poem about how an apple grows.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../RT/Poems/x_a236.swf
Class 3,Reading,Reading for Fun,Practice,Firefly,A poem about a firefly.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../RT/Poems/x_a237.swf
Class 3,Reading,Reading for Fun,Practice,Fog,A poem about fog.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../RT/Poems/x_a239.swf
Class 3,Reading ,Reading for Fun,Practice,Find the Rhyming Words: Fog,Students identify rhyming words in a poem.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/FW/x_a615.swf
Class 3,Reading ,Analytical Reading,Practice,A Volcano Is Born,An informational text about volcanoes.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../RT/NonFiction/x_a230.swf
Class 3,Reading ,Analytical Reading,Practice,Sort Information about Volcanoes,Students sort information into categories. ,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/InfoSort/x_a307.swf
Class 3,Reading,Analytical Reading,Practice,Sequence Events from a Myth,Students sequence events from a myth.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/SQ/x_a315.swf
Class 3,Reading,Advanced Reading,Instruction,Features of a Myth,An informational graphic explaining the features of Greek myths.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/FocusIn/r520/x_a520.swf
Class 3,Reading,Advanced Reading,Practice,Predict a Myth Based on its Title,Students predict what a myth will be about? based on its title.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../TextEntry/WritersPad/x_a310.swf
Class 3,Reading,Advanced Reading,Practice,Geeta's Letter,A letter from a girl to her friend.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../RT/Stories/x_a245.swf
Class 3,Reading,Advanced Reading,Practice,Tarun's E-mail,An e-mail from a boy to his uncle.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../RT/Info/x_a810.swf
Class 3,Reading,Advanced Reading,Practice,Find the Right Answer: Geeta's Letter,A game in which students answer questions based on a story.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/ChoiceIsRight/r325/x_a325.swf
Class 3,Reading ,Advanced Reading,Instruction,Features of a Map,An informational graphic explaining the features of a simple map? including streets? places and place labels.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/FocusIn/r833/x_a833.swf
Class 3,Reading ,Advanced Reading,Practice,Find the Right Answer: Features of a Map,Students answer questions about a map.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/ChoiceIsRight/r296/x_a296.swf
Class 3,Reading ,Advanced Reading,Instruction,Map Legends/ Key,An informational text explaining the features of a map.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/FocusIn/r831/x_a831.swf
Class 3,Reading ,Advanced Reading,Practice,Find the Right Answer: Map Legends/ Key,A game in which students answer questions based on a map.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/ChoiceIsRight/r772/x_a772.swf
Class 3,Reading,Advanced Reading,Instruction,Features of Poetry,An informational graphic explaining the features of poems.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/FocusIn/r767/x_a767.swf
Class 3,Writing,Creative Writing,Practice,Write Sentences with Descriptive Words,Students type descriptive words to complete sentences describing an apple.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../TextEntry/WritersPad/x_a321.swf
Class 3,Writing,Creative Writing,Practice,Write a Recipe ,Students write what they could make from a list of ingredients.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../TextEntry/WritersPad/x_a309.swf
Class 3,Writing,Creative Writing,Practice,Write Questions: Food Pyramid,Students write questions to ask other students so they can learn about their eating habits.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../TextEntry/WritersPad/x_a349.swf
Class 3,Writing,Creative Writing,Practice,Write a Prediction about a Book,Students write a prediction of what a book will be about? based on the title.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../TextEntry/WritersPad/x_a308.swf
Class 3,Writing,Creative Writing,Practice,Write a Dialogue,Students practice Writing dialogue.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../TextEntry/WritersPad/x_a612.swf
Class 3,Writing,Creative Writing,Practice,Write about a Personal Experience,Students write their own story with a beginning? a middle and an end.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../TextEntry/WritersPad/x_a355.swf
Class 3,Writing,Creative Writing,Practice,Create a Picture Postcard ,"Students create a postcard based on the poem ""Firefly"".",english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../TextEntry/Postcard/x_a320.swf
Class 3,Writing,Creative Writing,Practice,Write Your Own Acrostic Poem,Students write their own acrostic poem.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../TextEntry/WritersPad/x_a390.swf
Class 3,Writing,Organized writing,Instruction,Features of a Letter,An informational graphic about letters.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/FocusIn/r514/x_a514.swf
Class 3,Writing,Organized writing,Instruction,Focus on a Letter,An informational graphic about letters.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/FocusIn/r514/x_a514.swf
Class 3,Writing,Organized writing,Practice,Write Your Own Myth,Students write their own myth.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../TextEntry/WritersPad/x_a635.swf
Class 3,Vocabulary,Synonyms,Practice,Words Definition: Food Pyramid,Students match words in a magazine article with their definitions.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/MatchTables/x_a544.swf
Class 3,Vocabulary ,Homophones,Interactive Exercise,Homophones - Choose the Correct Word,Students explore how homophones can change the meaning of sentences.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/SillySentences/x_a559.swf
Class 3,Vocabulary ,Prefixes and Suffixes,Practice,Create New Words using Prefixes: un? dis? re,Students practice creating new words by adding prefixes.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/Conveyor/r546/x_a546.swf
Class 3,Vocabulary,Prefixes and Suffixes,Practice,Separate Prefixes from Root Words: un? dis? re,Students practice separating prefixes from root words.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/BustaWord/r780/x_a780.swf
Class 3,Vocabulary,Prefixes and Suffixes,Practice,Create New Words using Suffixes: ly? ful? er,Students practice creating new words by adding suffixes.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/Conveyor/r607/x_a607.swf
Class 3,Vocabulary,Prefixes and Suffixes,Practice,Separate Suffixes from Root Words: ly? ful? er,Students practice separating suffixes from root words.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/BustaWord/r548/x_a548.swf
Class 3,Vocabulary,Antonyms,Practice,Match the Antonyms,A game in which students match pairs of antonyms.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/HollyWPairs/r557/x_a557.swf
Class 3,Vocabulary,Compound Words,Practice,Make Compound Words,Students practice combining two words to make a compound word.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/Conveyor/r761/x_a761.swf
Class 3,Grammar,Nouns,Instruction,The Noun Song,A song explaining that nouns are names of people? places? animals or things.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/Song/x_a276.swf
Class 3,Grammar,Nouns,Practice,Complete the Sentence: Nouns,Students complete sentences using the correct nouns.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/CP/x_a284.swf
Class 3,Grammar,Nouns,Instruction,Words Beginning with Capital Letters: Introduction,An introduction to why some words begin with capital letters.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/OnStage/x_a425.swf
Class 3,Grammar,Nouns,Practice,Identify Proper Nouns,Students identify proper nouns in a passage.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/FW/x_a771.swf
Class 3,Grammar,Nouns,Practice,Identify Proper Nouns ,Students identify proper nouns in a passage.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/FW/x_a796.swf
Class 3,Grammar,Nouns,Instruction,Possessive Nouns: Introduction,An introduction to possessive nouns.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/OnStage/x_a281.swf
Class 3,Grammar,Nouns,Practice,Identify Possessive Nouns ,Students identify possessive nouns in a passage.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/FW/x_a293.swf
Class 3,Grammar,Punctuations,Instruction,Punctuation Marks: Introduction,An introduction to end-of-sentence punctuation marks and when to use them.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/OnStage/x_a764.swf
Class 3,Grammar,Punctuations,Instruction,Commas in a Series: Introduction,An introduction to commas in a series.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/OnStage/x_a777.swf
Class 3,Grammar,Punctuations,Practice,Identify Sentences with Lists,Students identify sentences with lists.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/FW/x_a778.swf
Class 3,Grammar,Punctuations,Instruction,End of Sentence Punctuation: Introduction,An introduction to end-of-sentence punctuation marks in different types of sentences.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/OnStage/x_a409.swf
Class 3,Grammar,Sentences,Practice,Write Different Types of Sentences,Students choose a topic and write a statement? a question and an exclamation about it.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../TextEntry/WritersPad/x_a356.swf
Class 3,Grammar,Pronouns,Instruction,Pronouns 1 (It? They? Her),An introduction to pronouns.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/OnStage/x_a280.swf
Class 3,Grammar,Pronouns,Practice,Complete the Sentences: Pronouns,Students use pronouns to complete sentences.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/CP/x_a286.swf
Class 3,Grammar,Pronouns,Instruction,Pronouns 2 (It? They? Her),An introduction to pronouns.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/OnStage/x_a496.swf
Class 3,Grammar,Pronouns,Practice,Identify Pronouns,Students identify pronouns in a passage.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/FW/x_a593.swf
Class 3,Grammar,Adjectives,Instruction,More Adjectives,A dialogue that uses adjectives to describe a lizard.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/Song/x_a277.swf
Class 3,Grammar,Adjectives,Practice,Adjectives: Complete the Sentence ,Students choose suitable adjectives to complete sentences.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/CP/x_a289.swf
Class 3,Grammar,Verbs,Instruction,Verbs Introduction,An introduction to action words or verbs.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/Song/x_a278.swf
Class 3,Grammar,Verbs,Practice,Identify Verbs in Sentences,Students identify verbs in sentences.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/FW/x_a291.swf
Class 3,Grammar,Verbs,Practice,Verb Tenses ,An introduction to verb tenses.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/OnStage/x_a622.swf
Class 3,Grammar,Adverbs,Instruction,The Adverb Song,A song about adverbs.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/Song/x_a279.swf
Class 3,Grammar,Adverbs,Practice,Adverbs: Complete the Sentences,Students choose the correct adverbs to complete sentences.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/CP/x_a290.swf
Class 3,Grammar,Contractions,Practice,Contractions: Matching,A game in which students match pairs of words with contractions of those words.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/HollyWPairs/r543/x_a543.swf
Class 3,Grammar,Contractions,Practice,Abbreviations ,A game in which students match words with their abbreviations.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/HollyWPairs/r773/x_a773.swf
Class 4,Phonics,Identifying Sounds,Practice,"Identify Words with Hard ""c"" Sound",Students identify words with the hard C sound.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/FW/x_a793.swf
Class 4,Phonics,Identifying Sounds,Practice,"Identify Words with ""y"" as a long ""e"" or ""i"" sound ",Students identify words with the Y vowel sound in a passage.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/FW/x_a603.swf
Class 4,Phonics,Identifying Sounds,Practice,"Identify Words with Blends: ""str-""? ""spr-"" and ""thr-"" ",Students identify words that begin with str-? spr- and thr-.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/WordPuzzles/r610/x_a610.swf
Class 4,Phonics,Identifying Sounds,Practice,"Identify Words Ending with ""ome"" and ""ove""",Students identify words that end with -ome and -ove.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/FW/x_a779.swf
